,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150
0,14,24,38,48,59,70,81,92,105,117,127,143,155,167,180
1,11,22,32,42,53,65,76,89,100,114,126,137,149,160,170
2,13,26,42,54,65,80,94,106,118,131,143,153,166,183,196
3,11,28,40,53,63,76,87,97,109,120,134,149,163,175,188
4,10,29,41,51,63,75,87,101,116,128,139,152,164,175,186
5,11,23,34,44,62,74,86,100,112,126,144,155,167,177,189
6,11,23,34,47,58,69,84,96,107,118,129,140,153,165,177
7,13,24,39,50,62,74,84,98,110,120,130,143,157,168,179
8,14,28,38,50,61,73,84,95,109,121,132,142,155,167,180
9,13,28,41,52,63,74,85,97,109,122,135,145,158,169,180
10,10,22,32,50,62,73,86,99,113,123,135,145,159,170,180
11,12,24,37,53,67,83,98,113,123,133,145,156,169,180,191
12,12,25,36,47,63,75,88,100,113,125,138,151,165,178,193
13,14,24,35,48,62,75,88,99,113,123,135,147,157,170,182
14,12,24,36,47,58,71,83,94,105,116,127,139,150,161,175
15,13,25,38,51,66,79,91,104,115,125,138,149,161,177,188
16,10,21,31,46,56,67,78,90,102,114,124,135,147,158,169
17,14,25,35,49,59,69,82,93,105,118,129,143,155,165,177
18,12,22,33,44,57,71,87,97,107,120,130,141,153,165,177
19,11,21,34,48,63,73,83,96,112,122,134,144,154,165,177
