,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150
0,18,31,46,57,69,85,100,122,141,154,169,180,199,214,229
1,14,30,44,55,69,89,110,124,140,155,172,183,197,207,235
2,14,36,52,63,78,101,115,133,149,166,178,189,205,229,246
3,16,35,46,59,73,90,105,126,141,154,169,184,202,221,234
4,16,29,52,76,88,101,118,132,144,156,173,188,204,214,231
5,16,35,49,65,77,90,101,127,140,153,171,184,196,213,226
6,14,25,38,59,73,85,100,116,132,143,153,173,189,206,228
7,19,34,54,71,85,109,121,132,144,160,172,185,196,215,225
8,16,34,52,68,78,90,105,117,129,140,154,169,181,194,205
9,17,33,44,62,74,99,109,119,133,147,161,177,190,207,220
10,15,30,46,59,72,91,106,120,134,156,169,185,202,217,230
11,13,34,50,67,80,91,109,122,138,149,166,180,193,206,220
12,13,29,44,59,70,86,104,121,138,158,172,183,202,218,237
13,14,27,38,56,68,86,102,124,149,163,178,192,206,223,242
14,12,31,47,64,77,88,100,116,128,143,155,168,185,201,216
15,16,28,41,59,81,93,107,124,142,154,167,177,187,202,220
16,13,30,45,56,67,83,97,109,120,134,145,157,171,187,203
17,15,29,45,58,71,81,99,114,128,140,157,181,200,221,235
18,14,29,43,56,68,84,95,123,135,146,160,173,185,203,213
19,11,26,39,51,64,74,87,99,113,128,138,153,168,178,196
