,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150
0,19,36,55,71,96,108,119,129,139,149,160,171,181,193,205
1,19,37,55,73,96,107,117,127,137,147,157,167,177,187,197
2,26,42,59,84,104,114,124,134,144,154,164,177,188,198,208
3,18,39,55,73,96,108,120,130,141,153,163,173,184,195,206
4,19,33,53,75,90,104,114,124,134,144,154,164,174,184,194
5,13,32,54,77,97,109,119,129,139,149,159,170,180,190,200
6,15,30,52,73,89,103,115,125,136,147,159,169,181,193,203
7,18,41,53,77,97,108,118,130,141,151,161,171,183,193,204
8,15,42,70,91,103,113,123,133,143,154,164,176,186,196,206
9,18,42,57,73,101,111,121,131,141,151,161,171,181,191,201
10,26,42,67,84,103,113,123,133,143,153,163,173,183,193,203
11,20,41,57,79,99,109,119,129,141,151,161,173,183,193,203
12,15,33,53,76,90,105,115,126,136,148,159,169,179,190,202
13,19,34,60,87,103,114,124,134,144,155,165,175,185,196,207
14,28,51,69,86,102,113,123,133,144,154,164,174,184,195,205
15,21,48,79,94,107,117,127,138,148,160,170,181,192,203,214
16,18,44,65,96,108,118,128,139,149,161,172,184,195,206,218
17,18,37,60,80,96,109,120,130,140,151,162,172,182,193,203
18,22,40,65,87,103,113,123,134,144,154,164,175,185,196,207
19,17,38,50,75,101,111,121,131,144,154,164,174,185,195,207
