,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150
0,13,30,45,57,68,81,96,112,125,139,156,171,193,216,232
1,13,27,45,59,77,91,115,134,149,162,179,189,208,223,246
2,14,28,41,59,77,92,111,128,145,164,175,188,211,229,246
3,16,28,46,56,69,87,97,110,121,131,142,158,179,196,213
4,13,31,44,58,71,88,100,113,127,140,155,169,191,210,222
5,11,25,43,55,67,79,96,107,118,137,151,169,182,195,211
6,19,32,46,67,92,111,128,138,148,161,173,198,215,232,251
7,16,33,47,60,74,88,101,116,135,154,171,183,196,212,224
8,13,27,41,63,80,92,115,132,151,163,184,199,214,231,246
9,13,30,40,53,65,80,94,108,120,140,154,165,177,197,217
10,15,30,49,61,79,94,106,121,135,150,161,177,187,202,214
11,14,25,42,56,70,80,96,111,123,141,166,180,198,211,224
12,15,27,38,56,68,81,94,119,133,146,160,170,187,201,215
13,17,34,49,64,82,97,117,131,150,170,182,194,211,222,233
14,15,31,44,56,75,89,104,118,132,147,159,173,189,202,216
15,14,29,43,58,78,95,108,122,139,158,172,198,212,233,250
16,17,30,42,57,76,93,105,116,128,140,156,169,182,203,215
17,16,31,47,62,76,94,104,115,130,143,156,178,194,205,221
18,19,32,44,58,75,94,106,125,136,148,161,177,193,206,216
19,13,27,40,59,71,87,99,116,126,138,151,167,179,192,203
