,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400
0,4,7,10,12,14,16,16,18,18,19,24,34,43,54,64,74,83,93,102,112,121,130,139,149,159,168,176,186,195,204,214,224,233,243,253,264,274,283,291,301
1,4,7,10,12,14,16,16,18,18,19,24,34,43,54,64,74,83,93,102,112,121,130,139,149,159,168,176,186,195,204,214,224,233,243,253,264,274,283,291,301
2,4,7,10,12,14,16,16,18,18,19,24,34,43,54,64,74,83,93,102,112,121,130,139,149,159,168,176,186,195,204,214,224,233,243,253,264,274,283,291,301
3,4,7,10,12,14,16,16,18,18,19,24,34,43,54,64,74,83,93,102,112,121,130,139,149,159,168,176,186,195,204,214,224,233,243,253,264,274,283,291,301
4,4,7,10,12,14,16,16,18,18,19,24,34,43,54,64,74,83,93,102,112,121,130,139,149,159,168,176,186,195,204,214,224,233,243,253,264,274,283,291,301
5,4,7,10,12,14,16,16,18,18,19,24,34,43,54,64,74,83,93,102,112,121,130,139,149,159,168,176,186,195,204,214,224,233,243,253,264,274,283,291,301
6,4,7,10,12,14,16,16,18,18,19,24,34,43,54,64,74,83,93,102,112,121,130,139,149,159,168,176,186,195,204,214,224,233,243,253,264,274,283,291,301
7,4,7,10,12,14,16,16,18,18,19,24,34,43,54,64,74,83,93,102,112,121,130,139,149,159,168,176,186,195,204,214,224,233,243,253,264,274,283,291,301
8,4,7,10,12,14,16,16,18,18,19,24,34,43,54,64,74,83,93,102,112,121,130,139,149,159,168,176,186,195,204,214,224,233,243,253,264,274,283,291,301
9,4,7,10,12,14,16,16,18,18,19,24,34,43,54,64,74,83,93,102,112,121,130,139,149,159,168,176,186,195,204,214,224,233,243,253,264,274,283,291,301
10,4,7,10,12,14,16,16,18,18,19,24,34,43,54,64,74,83,93,102,112,121,130,139,149,159,168,176,186,195,204,214,224,233,243,253,264,274,283,291,301
11,4,7,10,12,14,16,16,18,18,19,24,34,43,54,64,74,83,93,102,112,121,130,139,149,159,168,176,186,195,204,214,224,233,243,253,264,274,283,291,301
12,4,7,10,12,14,16,16,18,18,19,24,34,43,54,64,74,83,93,102,112,121,130,139,149,159,168,176,186,195,204,214,224,233,243,253,264,274,283,291,301
13,4,7,10,12,14,16,16,18,18,19,24,34,43,54,64,74,83,93,102,112,121,130,139,149,159,168,176,186,195,204,214,224,233,243,253,264,274,283,291,301
14,4,7,10,12,14,16,16,18,18,19,24,34,43,54,64,74,83,93,102,112,121,130,139,149,159,168,176,186,195,204,214,224,233,243,253,264,274,283,291,301
15,4,7,10,12,14,16,16,18,18,19,24,34,43,54,64,74,83,93,102,112,121,130,139,149,159,168,176,186,195,204,214,224,233,243,253,264,274,283,291,301
16,4,7,10,12,14,16,16,18,18,19,24,34,43,54,64,74,83,93,102,112,121,130,139,149,159,168,176,186,195,204,214,224,233,243,253,264,274,283,291,301
17,4,7,10,12,14,16,16,18,18,19,24,34,43,54,64,74,83,93,102,112,121,130,139,149,159,168,176,186,195,204,214,224,233,243,253,264,274,283,291,301
18,4,7,10,12,14,16,16,18,18,19,24,34,43,54,64,74,83,93,102,112,121,130,139,149,159,168,176,186,195,204,214,224,233,243,253,264,274,283,291,301
19,4,7,10,12,14,16,16,18,18,19,24,34,43,54,64,74,83,93,102,112,121,130,139,149,159,168,176,186,195,204,214,224,233,243,253,264,274,283,291,301
20,4,7,10,12,14,16,16,18,18,19,24,34,43,54,64,74,83,93,102,112,121,130,139,149,159,168,176,186,195,204,214,224,233,243,253,264,274,283,291,301
21,4,7,10,12,14,16,16,18,18,19,24,34,43,54,64,74,83,93,102,112,121,130,139,149,159,168,176,186,195,204,214,224,233,243,253,264,274,283,291,301
22,4,7,10,12,14,16,16,18,18,19,24,34,43,54,64,74,83,93,102,112,121,130,139,149,159,168,176,186,195,204,214,224,233,243,253,264,274,283,291,301
23,4,7,10,12,14,16,16,18,18,19,24,34,43,54,64,74,83,93,102,112,121,130,139,149,159,168,176,186,195,204,214,224,233,243,253,264,274,283,291,301
24,4,7,10,12,14,16,16,18,18,19,24,34,43,54,64,74,83,93,102,112,121,130,139,149,159,168,176,186,195,204,214,224,233,243,253,264,274,283,291,301
25,4,7,10,12,14,16,16,18,18,19,24,34,43,54,64,74,83,93,102,112,121,130,139,149,159,168,176,186,195,204,214,224,233,243,253,264,274,283,291,301
26,4,7,10,12,14,16,16,18,18,19,24,34,43,54,64,74,83,93,102,112,121,130,139,149,159,168,176,186,195,204,214,224,233,243,253,264,274,283,291,301
27,4,7,10,12,14,16,16,18,18,19,24,34,43,54,64,74,83,93,102,112,121,130,139,149,159,168,176,186,195,204,214,224,233,243,253,264,274,283,291,301
28,4,7,10,12,14,16,16,18,18,19,24,34,43,54,64,74,83,93,102,112,121,130,139,149,159,168,176,186,195,204,214,224,233,243,253,264,274,283,291,301
29,4,7,10,12,14,16,16,18,18,19,24,34,43,54,64,74,83,93,102,112,121,130,139,149,159,168,176,186,195,204,214,224,233,243,253,264,274,283,291,301
30,4,7,10,12,14,16,16,18,18,19,24,34,43,54,64,74,83,93,102,112,121,130,139,149,159,168,176,186,195,204,214,224,233,243,253,264,274,283,291,301
31,4,7,10,12,14,16,16,18,18,19,24,34,43,54,64,74,83,93,102,112,121,130,139,149,159,168,176,186,195,204,214,224,233,243,253,264,274,283,291,301
32,4,7,10,12,14,16,16,18,18,19,24,34,43,54,64,74,83,93,102,112,121,130,139,149,159,168,176,186,195,204,214,224,233,243,253,264,274,283,291,301
