,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150
0,13,29,43,57,70,84,98,119,139,154,167,182,199,212,225
1,13,25,40,56,70,82,94,108,120,134,146,166,177,190,202
2,15,33,48,65,79,93,108,123,135,162,180,191,205,223,235
3,17,31,50,61,73,90,103,113,126,139,154,169,182,198,215
4,15,31,46,62,72,87,100,121,138,149,171,193,210,226,248
5,12,26,38,50,66,80,91,105,124,135,146,159,175,188,203
6,15,30,43,60,74,87,108,123,140,153,172,185,200,213,230
7,15,27,41,64,76,86,100,116,135,152,172,183,196,206,217
8,15,33,48,62,73,86,103,119,139,154,168,179,196,207,224
9,13,26,39,54,66,80,95,108,120,135,149,161,174,187,201
10,13,25,41,55,74,87,101,115,130,141,155,171,184,197,215
11,14,28,41,56,69,85,101,122,137,151,162,175,188,201,220
12,16,32,43,60,73,91,105,116,129,140,161,175,187,200,215
13,15,31,45,59,71,94,108,121,135,146,169,181,193,212,224
14,18,31,48,60,79,95,110,130,141,156,171,190,206,223,241
15,15,30,45,58,78,99,114,129,144,160,176,189,202,212,234
16,13,30,43,56,67,78,91,108,125,137,155,168,185,202,218
17,14,29,41,55,70,83,100,119,134,148,163,176,191,204,218
18,17,27,43,59,70,86,99,117,128,144,159,179,192,212,225
19,14,37,50,65,78,91,104,118,134,149,161,180,193,209,220
