,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150
0,16,28,41,52,64,75,88,100,112,126,138,150,162,175,185
1,13,28,42,53,63,73,83,96,107,119,129,140,151,163,173
2,16,28,40,51,61,71,82,94,105,115,125,137,147,159,170
3,13,25,35,49,60,70,81,91,102,113,123,134,145,158,168
4,12,27,40,51,62,73,83,94,105,118,128,142,153,163,175
5,14,26,36,46,56,66,77,91,102,114,124,137,148,160,170
6,13,27,38,48,60,72,83,93,103,114,125,136,147,158,168
7,15,27,38,51,62,72,83,96,109,120,132,142,154,168,179
8,12,28,39,51,63,74,85,95,106,116,127,137,152,164,175
9,12,24,36,46,57,69,80,92,103,115,130,140,150,161,172
10,16,26,38,50,61,71,83,94,106,117,129,139,151,164,174
11,12,26,36,46,59,70,80,90,101,112,124,135,145,155,167
12,12,26,37,48,60,74,85,96,107,122,134,144,156,166,178
13,13,28,39,51,61,73,86,96,108,120,133,144,156,167,178
14,15,28,40,52,62,74,85,95,107,117,129,139,151,161,172
15,13,26,37,47,58,69,81,92,104,117,128,140,151,163,174
16,11,27,38,49,61,74,85,97,107,117,128,141,151,163,173
17,12,28,39,50,60,70,80,91,101,113,126,138,150,160,171
18,14,26,37,48,59,70,80,92,103,115,129,139,149,160,173
19,13,27,37,48,62,72,83,94,104,114,125,135,146,156,168
