,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150
0,29,40,54,69,80,90,101,112,125,135,146,156,167,179,189
1,13,25,35,51,62,73,85,97,109,119,129,140,153,165,175
2,11,22,35,47,61,72,84,96,107,119,130,141,153,165,176
3,15,30,42,53,65,78,91,102,115,127,139,150,161,171,185
4,17,30,45,58,70,80,90,100,112,123,133,144,156,168,178
5,12,23,38,51,63,77,87,99,109,120,130,140,151,161,173
6,16,31,45,57,70,83,95,107,119,131,143,154,166,179,189
7,16,26,37,49,62,73,83,94,105,116,126,137,147,157,168
8,15,29,44,55,68,78,90,102,114,124,134,145,156,167,177
9,14,25,36,47,60,70,80,92,103,114,125,137,147,158,168
10,11,21,34,45,58,70,80,90,101,113,124,136,148,158,168
11,14,26,38,51,63,74,86,97,107,118,129,141,151,165,175
12,12,22,37,52,62,73,85,96,107,117,128,139,150,161,171
13,19,29,40,52,62,73,85,97,109,120,133,143,155,167,177
14,17,30,44,58,75,85,95,106,116,128,139,149,160,172,182
15,18,28,41,53,66,79,91,101,113,123,133,145,155,167,177
16,17,30,43,54,65,75,85,96,107,119,130,141,153,164,176
17,12,24,37,51,62,75,86,97,109,120,130,141,152,164,174
18,16,27,39,52,66,78,88,98,109,120,130,140,152,165,176
19,17,29,42,53,66,76,89,100,112,129,140,151,163,175,185
