,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150
0,89,123,146,191,247,309,373,401,442,514,583,630,708,747,800
1,49,91,155,240,293,348,386,424,490,535,586,641,695,769,813
2,69,108,147,201,240,316,357,411,470,533,586,628,680,723,784
3,39,76,121,167,226,260,324,361,413,484,557,613,677,730,780
4,74,127,183,238,304,347,399,442,502,595,667,729,759,841,886
5,75,118,177,221,286,327,381,418,475,507,551,606,669,738,789
6,83,115,178,217,276,340,412,512,569,629,670,771,826,881,923
7,57,118,179,243,294,371,418,473,549,600,646,688,726,793,862
8,48,121,166,205,250,336,382,446,486,550,624,684,735,770,819
9,49,110,163,223,293,338,382,423,476,521,582,616,654,727,769
10,67,111,169,227,263,307,375,424,475,546,587,656,683,744,796
11,52,88,117,155,174,212,263,310,350,375,444,495,545,619,674
12,58,93,137,207,258,292,345,382,463,514,570,625,690,766,797
13,45,88,151,208,261,328,387,439,502,555,588,619,696,750,796
14,55,122,183,254,333,387,439,502,565,620,651,715,786,817,862
15,60,104,161,222,281,342,385,460,513,552,651,703,758,843,905
16,50,100,146,220,266,313,344,390,442,491,544,582,628,666,734
17,76,130,188,227,275,343,393,457,548,618,692,749,790,847,889
18,84,128,181,224,261,294,332,352,441,483,553,611,662,729,815
19,61,127,165,214,276,336,394,431,475,511,559,603,652,685,723
