,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150
0,14,26,37,48,58,69,79,89,100,111,123,133,145,156,166
1,11,24,35,47,57,67,78,88,99,109,119,130,140,151,162
2,10,22,36,47,60,73,83,93,104,114,124,135,146,156,166
3,13,24,35,45,55,65,75,85,96,106,116,128,138,149,159
4,16,26,39,50,60,71,81,93,104,114,125,135,145,156,166
5,11,23,35,45,57,67,78,89,100,111,121,131,141,151,161
6,19,33,46,57,67,77,90,101,112,122,133,147,157,167,180
7,13,24,35,47,57,69,80,91,102,114,124,134,145,155,165
8,10,22,32,42,52,63,73,86,97,110,120,131,141,151,162
9,20,33,43,53,65,76,86,96,107,118,129,139,150,162,172
10,10,26,36,46,57,69,81,94,104,114,124,136,146,156,166
11,17,28,38,52,62,72,84,95,106,117,128,138,148,158,168
12,16,27,39,52,63,73,84,95,105,116,126,140,151,161,172
13,12,24,34,47,59,72,83,93,104,115,126,136,147,157,167
14,13,23,34,47,58,69,81,91,101,111,121,133,144,154,165
15,14,25,36,48,60,71,83,94,106,118,128,139,151,162,172
16,11,26,37,51,63,73,84,94,104,114,125,136,147,158,170
17,11,22,34,47,58,69,81,91,102,114,125,135,145,157,167
18,13,25,37,48,62,73,85,96,107,117,127,138,148,158,168
19,11,21,31,42,52,62,72,82,92,104,115,125,135,145,155
