,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150
0,15,30,44,55,65,77,89,103,115,127,139,152,166,179,192
1,14,27,39,53,68,80,95,108,121,136,149,162,174,185,195
2,13,24,36,48,61,73,87,99,111,123,135,146,157,168,180
3,13,25,37,49,62,74,89,100,113,124,134,146,159,172,184
4,16,27,40,54,67,79,91,103,118,129,143,157,169,183,194
5,12,24,36,49,63,74,86,98,109,120,134,150,163,175,187
6,12,26,38,49,61,72,87,101,114,126,140,150,163,175,185
7,13,24,38,53,66,79,90,100,113,124,137,151,164,175,185
8,15,27,38,52,65,76,88,99,110,124,137,150,163,174,189
9,14,30,40,53,68,82,95,105,116,130,146,159,173,188,200
10,11,27,44,58,68,81,98,115,130,144,156,169,182,194,208
11,13,24,37,52,66,79,91,104,118,131,144,158,169,184,196
12,14,27,40,53,65,77,88,102,113,126,138,148,163,176,192
13,11,23,35,48,60,74,86,98,112,124,134,148,158,172,184
14,12,24,35,49,60,75,88,102,113,123,134,150,162,172,185
15,18,29,41,54,70,82,95,106,119,132,145,156,168,183,198
16,14,26,38,49,62,75,93,105,117,130,141,154,168,182,195
17,15,26,38,51,64,77,88,103,118,129,142,153,166,177,192
18,15,27,42,55,68,82,95,106,119,130,143,154,167,181,193
19,14,28,41,51,64,80,92,105,117,129,142,157,168,181,194
