,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150
0,22,36,52,68,79,91,103,113,123,133,143,154,164,174,185
1,16,35,50,63,77,94,107,118,129,139,149,159,169,179,189
2,13,29,45,60,75,89,102,112,122,132,142,152,162,172,182
3,15,28,42,54,66,84,96,107,117,127,137,147,158,168,178
4,10,21,36,54,67,83,101,111,121,131,141,151,162,172,183
5,13,32,50,65,78,89,104,114,124,135,145,156,167,178,189
6,15,29,45,58,74,90,103,113,124,134,145,155,165,176,186
7,14,28,42,54,69,83,100,111,121,131,141,151,161,173,184
8,17,31,44,59,76,88,101,111,121,132,142,152,162,172,182
9,14,30,48,61,77,90,103,113,124,134,144,154,165,175,185
10,14,30,42,58,79,89,104,116,126,136,147,157,167,178,189
11,15,27,43,57,72,86,101,111,121,131,141,152,162,174,184
12,16,33,46,60,71,83,99,110,120,130,140,150,160,170,180
13,16,37,50,63,75,90,102,112,123,136,146,157,167,178,191
14,12,25,37,51,65,83,96,107,117,127,137,147,157,167,177
15,18,38,53,67,81,96,107,117,127,137,147,157,168,178,188
16,17,33,46,61,72,90,103,113,123,133,143,153,163,173,183
17,21,40,51,68,79,98,110,120,130,140,150,160,170,180,190
18,19,36,48,64,78,92,103,113,123,133,143,153,163,173,183
19,13,26,42,52,64,89,102,112,122,132,142,152,162,172,182
