,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150
0,19,38,54,76,93,113,131,151,171,210,239,260,286,305,357
1,23,34,57,81,95,116,143,155,166,180,196,211,228,239,261
2,17,43,64,79,93,119,137,158,183,196,206,223,244,256,267
3,16,40,68,95,117,141,153,173,186,201,214,225,241,256,268
4,20,37,59,82,92,109,123,141,156,171,207,223,239,255,266
5,22,46,61,80,95,113,134,144,164,179,199,218,245,265,275
6,22,40,53,64,77,92,102,112,136,160,212,244,263,286,310
7,16,36,48,67,81,92,104,122,145,165,176,191,219,247,259
8,13,35,52,75,97,109,134,148,166,183,195,210,244,255,272
9,25,46,58,84,102,115,130,155,177,189,200,218,234,244,281
10,20,41,65,86,113,128,147,170,195,211,225,252,270,286,296
11,17,41,59,77,91,103,116,129,147,166,184,196,210,225,246
12,18,32,66,82,110,155,182,233,262,273,288,304,326,349,382
13,20,36,48,65,78,96,128,149,161,187,228,246,277,301,321
14,16,36,53,69,92,117,137,160,189,215,241,257,274,289,310
15,20,43,60,81,114,133,154,167,190,208,220,244,275,300,317
16,18,36,69,104,133,159,209,225,238,248,287,318,341,370,390
17,15,36,58,74,88,122,152,177,188,211,224,245,258,270,296
18,20,36,60,82,98,114,137,152,167,188,201,243,280,294,323
19,19,39,67,87,110,125,146,167,190,207,229,254,269,299,318
