,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150
0,11,22,33,44,55,65,76,88,101,112,124,135,148,160,173
1,11,23,36,47,58,70,81,93,104,115,126,136,147,158,169
2,11,21,31,41,52,62,74,85,97,107,117,129,139,150,161
3,10,23,34,45,56,67,78,89,99,111,124,135,145,156,166
4,12,23,34,45,57,67,79,91,102,116,127,138,148,160,170
5,10,21,32,43,54,65,75,85,98,111,122,133,144,154,164
6,11,22,33,44,54,64,76,87,99,112,122,132,143,154,165
7,12,24,35,47,59,73,85,99,110,121,134,144,154,166,176
8,13,24,36,48,58,68,80,92,102,114,125,136,148,159,169
9,14,26,39,50,61,73,83,94,104,114,126,137,148,158,170
10,11,22,32,44,54,65,77,88,99,112,124,135,146,156,168
11,11,22,32,44,55,66,76,87,99,110,121,132,143,153,166
12,12,22,33,44,54,65,75,85,95,105,115,125,136,148,158
13,10,22,32,42,52,63,73,84,95,106,117,129,139,149,161
14,12,24,35,45,57,67,77,87,99,110,120,133,144,156,166
15,12,23,33,45,55,65,76,88,100,113,125,136,148,159,169
16,11,23,34,44,55,65,75,87,98,108,119,129,140,151,162
17,12,23,34,45,55,66,77,88,100,112,123,135,145,156,168
18,12,24,34,45,55,65,76,88,100,113,124,135,147,161,177
19,12,22,32,43,54,67,78,89,100,113,124,137,149,159,170
