,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150
0,19,44,60,82,102,112,122,132,142,152,162,172,182,192,202
1,20,32,50,72,88,102,114,128,140,153,163,173,183,196,206
2,14,32,50,70,89,105,115,125,135,145,155,165,175,185,195
3,17,40,60,77,92,108,118,128,138,148,158,168,178,188,198
4,13,26,44,64,80,104,114,124,134,144,154,164,174,184,194
5,14,31,47,61,79,92,109,119,129,139,150,160,171,181,191
6,14,33,50,68,88,102,113,124,135,145,155,165,175,187,198
7,17,36,54,80,104,115,125,135,145,155,165,175,186,197,207
8,20,40,54,72,93,105,115,126,137,147,157,169,180,190,200
9,19,45,64,85,103,113,123,133,143,153,164,174,184,194,204
10,19,38,56,76,89,101,111,122,132,142,154,164,174,184,194
11,16,33,51,72,96,108,118,128,139,149,160,170,181,191,201
12,18,31,52,71,96,108,119,130,142,154,165,177,187,198,209
13,16,35,59,72,86,103,113,123,133,143,154,164,174,184,194
14,22,38,58,77,94,106,116,126,136,146,156,166,176,186,196
15,14,32,55,84,99,110,121,131,141,152,163,173,184,194,205
16,17,39,61,82,97,108,118,128,138,148,158,168,178,188,198
17,20,38,56,78,101,111,121,131,141,151,161,171,181,191,201
18,24,39,55,75,95,107,117,127,137,147,157,167,177,187,197
19,26,40,60,76,101,111,121,131,141,151,161,171,181,191,201
