,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150
0,14,26,44,62,75,89,109,133,150,163,188,215,238,256,275
1,25,53,80,100,125,147,168,181,203,216,232,248,267,281,296
2,23,33,45,56,67,80,92,103,113,126,137,152,165,177,189
3,21,35,47,58,69,83,93,106,117,128,140,151,161,177,188
4,17,33,46,60,70,82,96,108,119,129,143,155,169,184,194
5,17,30,42,58,70,88,105,124,148,167,181,210,224,235,250
6,13,24,36,46,56,67,77,87,97,110,121,136,147,159,169
7,17,28,40,52,64,74,85,96,107,118,130,141,154,168,182
8,24,37,52,67,77,88,99,110,123,136,148,159,169,182,194
9,26,45,57,67,77,90,102,113,123,134,144,154,166,176,187
10,17,29,43,57,67,77,87,99,110,120,130,141,152,162,174
11,16,27,37,47,60,71,85,95,105,117,128,138,148,158,169
12,13,26,42,61,79,101,113,132,146,164,181,193,208,226,237
13,26,39,52,65,75,88,103,115,131,144,159,170,183,196,206
14,23,38,59,74,91,105,128,140,150,164,181,196,210,227,238
15,18,33,49,60,72,89,103,120,134,147,159,169,181,194,206
16,16,35,55,73,87,103,115,129,143,165,179,196,211,224,244
17,14,27,37,50,66,79,90,100,114,131,143,156,171,186,205
18,14,25,37,49,62,74,85,97,108,119,130,140,150,160,171
19,20,32,43,54,65,77,90,102,112,125,140,154,165,177,190
