,Learning
0,29
1,27
2,23
3,30
4,27
5,29
6,19
7,21
8,20
9,22
10,18
11,26
12,21
13,24
14,26
15,26
16,16
17,29
18,26
19,20
20,24
21,26
22,21
23,26
24,19
25,21
26,25
27,23
28,28
29,23
30,25
31,21
32,27
33,21
34,24
35,21
36,20
37,24
38,23
39,25
40,24
41,19
42,23
43,23
44,23
45,23
46,17
47,26
48,26
49,24
