,Learning
0,26
1,23
2,22
3,25
4,26
5,25
6,29
7,18
8,24
9,24
10,21
11,24
12,26
13,25
14,30
15,25
16,24
17,27
18,22
19,26
20,23
21,22
22,27
23,21
24,25
25,21
26,32
27,21
28,17
29,25
30,27
31,18
32,30
33,19
34,21
35,26
36,22
37,24
38,28
39,25
40,19
41,23
42,20
43,23
44,26
45,23
46,24
47,29
48,33
49,28
