,Learning
0,13
1,17
2,18
3,24
4,18
5,14
6,15
7,17
8,17
9,26
10,14
11,16
12,20
13,23
14,17
15,15
16,18
17,18
18,19
19,14
20,20
21,22
22,16
23,21
24,17
25,20
26,19
27,21
28,16
29,13
30,20
31,21
32,18
33,19
34,19
35,19
36,16
37,13
38,20
39,12
40,27
41,17
42,13
43,17
44,17
45,19
46,17
47,11
48,13
49,22
