,Learning
0,19
1,29
2,27
3,20
4,18
5,21
6,6
7,17
8,18
9,17
10,18
11,18
12,22
13,15
14,18
15,17
16,16
17,19
18,21
19,23
20,22
21,28
22,20
23,22
24,23
25,18
26,25
27,20
28,17
29,17
30,15
31,16
32,23
33,16
34,19
35,23
36,15
37,18
38,26
39,21
40,26
41,22
42,23
43,19
44,25
45,21
46,15
47,24
48,21
49,20
