,Learning
0,23
1,20
2,31
3,27
4,26
5,26
6,24
7,24
8,20
9,23
10,20
11,22
12,26
13,24
14,29
15,22
16,32
17,23
18,16
19,25
20,21
21,21
22,29
23,22
24,24
25,23
26,22
27,25
28,19
29,25
30,20
31,26
32,27
33,23
34,26
35,25
36,25
37,27
38,25
39,21
40,30
41,20
42,24
43,23
44,26
45,23
46,23
47,24
48,28
49,23
