,Learning
0,16
1,11
2,11
3,15
4,13
5,7
6,9
7,16
8,17
9,10
10,15
11,12
12,19
13,13
14,15
15,14
16,18
17,12
18,15
19,9
20,13
21,15
22,13
23,11
24,18
25,14
26,9
27,16
28,14
29,14
30,15
31,11
32,14
33,13
34,18
35,14
36,14
37,15
38,15
39,16
40,13
41,17
42,16
43,23
44,18
45,16
46,22
47,18
48,13
49,17
