,Learning
0,23
1,24
2,24
3,29
4,16
5,28
6,19
7,19
8,25
9,22
10,21
11,17
12,21
13,22
14,18
15,24
16,20
17,24
18,21
19,15
20,31
21,27
22,21
23,18
24,29
25,20
26,27
27,18
28,19
29,24
30,24
31,24
32,20
33,18
34,21
35,26
36,17
37,19
38,18
39,19
40,25
41,21
42,21
43,26
44,21
45,21
46,26
47,31
48,25
49,19
