,Learning
0,18
1,20
2,24
3,25
4,25
5,16
6,21
7,22
8,23
9,21
10,20
11,15
12,26
13,23
14,21
15,20
16,25
17,22
18,15
19,17
20,23
21,26
22,23
23,27
24,25
25,20
26,24
27,22
28,19
29,20
30,20
31,20
32,23
33,20
34,21
35,23
36,23
37,21
38,20
39,28
40,21
41,23
42,18
43,23
44,14
45,25
46,15
47,19
48,22
49,19
