,Learning
0,13
1,13
2,12
3,5
4,16
5,18
6,12
7,12
8,9
9,13
10,10
11,13
12,6
13,13
14,8
15,9
16,6
17,9
18,8
19,7
20,20
21,12
22,10
23,4
24,15
25,15
26,14
27,14
28,13
29,8
30,11
31,12
32,14
33,14
34,7
35,7
36,12
37,14
38,12
39,15
40,9
41,11
42,14
43,10
44,14
45,11
46,13
47,12
48,11
49,13
