,Learning
0,20
1,16
2,26
3,23
4,15
5,22
6,21
7,20
8,22
9,15
10,22
11,14
12,22
13,19
14,24
15,24
16,23
17,32
18,23
19,21
20,19
21,23
22,26
23,21
24,17
25,22
26,16
27,21
28,17
29,23
30,17
31,18
32,24
33,15
34,22
35,26
36,20
37,22
38,16
39,23
40,19
41,17
42,16
43,27
44,27
45,21
46,23
47,18
48,19
49,24
