,Learning,No learning
0,49,45
1,54,46
2,46,46
3,51,39
4,46,37
5,56,38
6,53,38
7,53,45
8,50,42
9,61,37
10,54,39
11,50,37
12,55,40
13,50,33
14,52,47
15,56,48
16,51,39
17,56,48
18,43,44
19,52,35
20,50,44
21,51,27
22,52,42
23,39,54
24,49,38
25,48,39
26,51,34
27,47,39
28,48,39
29,48,54
30,48,43
31,42,46
32,50,33
33,52,46
34,50,34
35,43,39
36,49,49
37,53,35
38,45,46
39,45,48
40,48,37
41,49,41
42,44,42
43,51,43
44,58,41
45,55,44
46,59,50
47,53,39
48,47,47
49,57,46
