,Learning
0,12
1,9
2,10
3,6
4,14
5,7
6,8
7,11
8,9
9,12
10,9
11,6
12,9
13,13
14,8
15,6
16,9
17,4
18,13
19,10
20,11
21,9
22,11
23,10
24,9
25,13
26,5
27,6
28,12
29,9
30,9
31,8
32,8
33,13
34,7
35,9
36,5
37,13
38,11
39,11
40,12
41,12
42,5
43,8
44,9
45,13
46,5
47,10
48,7
49,7
