,Learning
0,23
1,24
2,24
3,18
4,25
5,26
6,19
7,23
8,23
9,16
10,22
11,17
12,17
13,22
14,26
15,21
16,24
17,25
18,21
19,28
20,18
21,24
22,20
23,15
24,25
25,21
26,22
27,24
28,23
29,21
30,18
31,21
32,26
33,16
34,19
35,25
36,22
37,21
38,22
39,18
40,23
41,19
42,23
43,29
44,26
45,25
46,26
47,24
48,23
49,24
