,Learning
0,16
1,23
2,19
3,23
4,24
5,26
6,27
7,24
8,19
9,28
10,26
11,27
12,28
13,23
14,25
15,24
16,28
17,22
18,25
19,24
20,25
21,24
22,24
23,28
24,24
25,22
26,24
27,21
28,29
29,31
30,24
31,27
32,26
33,27
34,25
35,31
36,22
37,21
38,21
39,20
40,27
41,27
42,22
43,23
44,26
45,22
46,27
47,30
48,21
49,32
