,Learning
0,22
1,15
2,20
3,20
4,20
5,20
6,16
7,17
8,17
9,17
10,21
11,24
12,25
13,20
14,18
15,20
16,20
17,25
18,22
19,22
20,21
21,14
22,20
23,18
24,21
25,27
26,16
27,18
28,17
29,18
30,18
31,20
32,22
33,19
34,24
35,20
36,19
37,17
38,21
39,17
40,17
41,17
42,15
43,20
44,16
45,20
46,19
47,28
48,19
49,15
