,Learning
0,187
1,197
2,190
3,192
4,204
5,189
6,182
7,186
8,193
9,174
10,194
11,196
12,190
13,182
14,185
15,192
16,192
17,195
18,191
19,178
20,181
21,190
22,195
23,189
24,192
25,189
26,201
27,202
28,203
29,189
30,201
31,196
32,187
33,190
34,185
35,196
36,207
37,181
38,183
39,186
40,197
41,185
42,198
43,207
44,191
45,192
46,185
47,203
48,185
49,192
