,Learning,No learning
0,0.49,0.4
1,0.47,0.415
2,0.455,0.45
3,0.455,0.41
4,0.405,0.43
5,0.405,0.425
6,0.47,0.44
7,0.44,0.41
8,0.475,0.4
9,0.465,0.465
10,0.485,0.445
11,0.435,0.405
12,0.535,0.38
13,0.45,0.44
14,0.455,0.42
15,0.445,0.44
16,0.46,0.475
17,0.445,0.45
18,0.52,0.425
19,0.48,0.38
20,0.455,0.405
21,0.455,0.465
22,0.48,0.46
23,0.51,0.38
24,0.385,0.445
