,Learning,No learning
0,0.425,0.375
1,0.44,0.445
2,0.515,0.435
3,0.465,0.45
4,0.46,0.365
5,0.455,0.47
6,0.47,0.415
7,0.48,0.435
8,0.425,0.42
9,0.505,0.39
10,0.44,0.375
11,0.5,0.385
12,0.46,0.41
13,0.43,0.4
14,0.46,0.385
15,0.425,0.41
16,0.44,0.455
17,0.465,0.45
18,0.5,0.425
19,0.445,0.425
20,0.455,0.44
21,0.475,0.405
22,0.46,0.475
23,0.41,0.41
24,0.425,0.45
