,Learning,No learning
0,0.495,0.43
1,0.485,0.46
2,0.47,0.405
3,0.4,0.505
4,0.465,0.405
5,0.425,0.4
6,0.455,0.43
7,0.42,0.405
8,0.375,0.355
9,0.395,0.45
10,0.44,0.46
11,0.37,0.42
12,0.475,0.445
13,0.405,0.395
14,0.425,0.48
15,0.345,0.535
16,0.425,0.365
17,0.475,0.435
18,0.375,0.35
19,0.465,0.385
20,0.445,0.385
21,0.405,0.405
22,0.37,0.465
23,0.515,0.415
24,0.44,0.465
