,Network,Random
0,49.965666666666664,41.89833333333333
1,49.77733333333333,41.90533333333333
2,50.00066666666667,41.93566666666667
3,38.943999999999996,41.86866666666667
4,33.830666666666666,41.88733333333334
5,36.285666666666664,41.84133333333333
6,48.61266666666667,41.876666666666665
7,33.846,41.851333333333336
8,34.007999999999996,41.83466666666667
9,33.99766666666666,41.790333333333336
10,35.60666666666666,41.88166666666667
11,40.75,41.88666666666667
12,34.23933333333333,41.818666666666665
13,34.842666666666666,41.846000000000004
14,34.394,41.904
15,36.56999999999999,41.837
16,36.15,41.93233333333333
17,41.602999999999994,41.94266666666667
18,40.442,41.788000000000004
19,42.245,41.769
20,41.07,41.855666666666664
21,38.117666666666665,41.845
22,36.212666666666664,41.94566666666667
23,40.33233333333333,41.81466666666667
24,40.30433333333333,41.76566666666667
