,Network,Random
0,49.413666666666664,41.916000000000004
1,49.19833333333333,41.96366666666667
2,49.593666666666664,41.845666666666666
3,49.181333333333335,41.851333333333336
4,49.126,41.873333333333335
5,49.099666666666664,41.84666666666667
6,49.36533333333333,41.81733333333334
7,48.94866666666667,41.871
8,49.31066666666667,41.85966666666667
9,49.690333333333335,41.867000000000004
10,49.38666666666666,41.802
11,49.95766666666667,41.903666666666666
12,48.949333333333335,41.82633333333334
13,49.19733333333333,41.88133333333334
14,49.519,41.90266666666667
15,49.815333333333335,41.91166666666667
16,48.864,41.88666666666667
17,49.519333333333336,41.870666666666665
18,49.104,41.76833333333333
19,49.657,41.854
20,49.05133333333333,41.882
21,49.562666666666665,41.861000000000004
22,49.299,41.824
23,49.876333333333335,41.85633333333333
24,49.39233333333333,41.888
