,Network,Random
0,49.98733333333333,41.940666666666665
1,49.99633333333333,41.89333333333333
2,49.99666666666667,41.88466666666667
3,49.813,41.833
4,49.92,41.919666666666664
5,49.99633333333333,41.952333333333335
6,49.974666666666664,41.85933333333333
7,49.970333333333336,41.88366666666667
8,49.99766666666667,41.883
9,49.99733333333333,41.874
10,49.986666666666665,41.81366666666667
11,49.977666666666664,41.928666666666665
12,49.995333333333335,41.89866666666667
13,49.99666666666667,41.888666666666666
14,49.99766666666667,41.87133333333333
15,50.00066666666667,41.830666666666666
16,49.99766666666667,41.885333333333335
17,49.984,41.877
18,49.13466666666667,41.895
19,50.00066666666667,41.852000000000004
20,49.99733333333333,41.857
21,49.99733333333333,41.858666666666664
22,50.00066666666667,41.844
23,49.99766666666667,41.809666666666665
24,49.901,41.878
